"Subject","Function"
"LibTIFF","libtiff/tif_dir.c:TIFFNumberOfDirectories"
"LibTIFF","libtiff/tif_dir.c:TIFFAdvanceDirectory"
"LibTIFF","libtiff/tif_swab.c:TIFFSwabShort"
"LibTIFF","libtiff/tif_swab.c:TIFFSwabLong"
"LibTIFF","libtiff/tif_swab.c:TIFFSwabLong8"
"LibTIFF","libtiff/tif_dir.c:TIFFSetDirectory"
"LibTIFF","libtiff/tif_dir.c:TIFFSetSubDirectory"
"LibTIFF","libtiff/tif_dir.c:TIFFCurrentDirOffset"
"LibTIFF","libtiff/tif_dir.c:TIFFLastDirectory"
"LibTIFF","libtiff/tif_dir.c:TIFFUnlinkDirectory"
"LibTIFF","libtiff/tif_dirread.c:TIFFReadDirectory"
"LibTIFF","libtiff/tif_dirread.c:TIFFCheckDirOffset"
"LibTIFF","libtiff/tif_dirread.c:TIFFFetchDirectory"
"LibTIFF","libtiff/tif_dirread.c:TIFFReadUInt64"
"LibTIFF","libtiff/tif_dirread.c:TIFFReadDirectoryCheckOrder"
"LibTIFF","libtiff/tif_dirread.c:TIFFReadDirectoryFindEntry"
"LibTIFF","libtiff/tif_dirread.c:TIFFFetchNormalTag"
"LibTIFF","libtiff/tif_dirread.c:TIFFReadDirectoryFindFieldInfo"
"LibTIFF","libtiff/tif_dirread.c:TIFFReadDirEntryByteArray"
"LibTIFF","libtiff/tif_dirread.c:TIFFReadDirEntryArray"
"LibTIFF","libtiff/tif_dirread.c:TIFFReadDirEntryArrayWithLimit"
"LibTIFF","libtiff/tif_dirread.c:TIFFReadDirEntryData"
"LibTIFF","libtiff/tif_dirread.c:TIFFReadDirEntryDataAndRealloc"
"LibTIFF","libtiff/tif_dirread.c:TIFFReadDirEntryCheckRangeByteSbyte"
"LibTIFF","libtiff/tif_dirread.c:TIFFReadDirEntryCheckRangeByteShort"
"LibTIFF","libtiff/tif_dirread.c:TIFFReadDirEntryCheckRangeByteSshort"
"LibTIFF","libtiff/tif_dirread.c:TIFFReadDirEntryCheckRangeByteLong"
"LibTIFF","libtiff/tif_dirread.c:TIFFReadDirEntryCheckRangeByteSlong"
"LibTIFF","libtiff/tif_dirread.c:TIFFReadDirEntryCheckRangeByteLong8"
"LibTIFF","libtiff/tif_dirread.c:TIFFReadDirEntryCheckRangeByteSlong8"
"LibTIFF","libtiff/tif_dirread.c:TIFFReadDirEntryByte"
"LibTIFF","libtiff/tif_dirread.c:TIFFReadDirEntryCheckedByte"
"LibTIFF","libtiff/tif_dirread.c:TIFFReadDirEntryCheckedSbyte"
"LibTIFF","libtiff/tif_dirread.c:TIFFReadDirEntryCheckedShort"
"LibTIFF","libtiff/tif_dirread.c:TIFFReadDirEntryCheckedSshort"
